Link,Lokasi,Tipe Properti,Luas Tanah,Luas Bangunan,Kamar Tidur,Kamar Mandi,Sertifikat,Jumlah Lantai,Kondisi Properti,Dilengkapi Perabotan,Daya Listrik,Kamar Pembantu,Garasi,Carport,Hadap,Harga
https://www.rumah123.com/properti/lumajang-tekung/rumah-gedung-dekat-tekung-lumajang-hos18734628/,Lumajang,-,430 M²,430 M²,3,2,Shm,-,-,-,900Watt,-,-,-,-,"RP 2,85 MILIAR"
https://www.rumah123.com/properti/lumajang-lumajang/rumah-mewah-di-pusat-kota-lumajang-rumah-hos39617564/,Lumajang,-,1900 M²,1600 M²,5,5,Shm,2,-,-,Lainnya,-,2,35,-,RP 5 MILIAR
https://www.rumah123.com/perumahan-baru/properti/surabaya/wisata-bukit-mas/nps1933/,Lumajang,Rumah,-,-,-,-,Lainnya,-,-,-,-,-,-,-,-,"RP 2,91 MILIAR"
https://www.rumah123.com/properti/lumajang-rowokangkung/rumah-baru-minimalis-lumajang-hos19517227/,Lumajang,-,60 M²,60 M²,2,1,Hgb,1,-,-,900Watt,-,-,-,-,RP 166 JUTA
https://www.rumah123.com/properti/lumajang-sukodono/rumah-elit-kokoh-hos18574050/,Lumajang,-,81 M²,160 M²,3,2,Shm,-,-,-,1300Watt,-,-,-,-,RP 550 JUTA
https://www.rumah123.com/properti/lumajang-sukodono/rumah-murah-startegis-di-sukodono-lumajang-hos40378288/,Lumajang,-,60 M²,60 M²,2,1,Shm,1,-,-,Lainnya,-,1,1,-,RP 175 JUTA
https://www.rumah123.com/properti/lumajang-tempeh/rumah-2lantai-hos18573803/,Lumajang,-,294 M²,294 M²,6,2,Shm,-,-,-,900Watt,-,-,-,-,RP 625 JUTA
https://www.rumah123.com/properti/lumajang-sumbersuko/raya-labruk-lumajang-sumbersuko-hos40563324/,Lumajang,-,230 M²,200 M²,-,1,Shm,1,-,-,Lainnya,-,-,-,-,"RP 1,5 MILIAR"
https://www.rumah123.com/properti/lumajang-sukodono/rumah-hook-strategis-sukodono-lumajang-hos19301309/,Lumajang,-,210 M²,210 M²,5,3,Shm,1,-,-,1300Watt,-,-,-,-,RP 750 JUTA
https://www.rumah123.com/properti/lumajang-lumajang/dijual-via-lelang-rumah-di-cluster-hasanah-park-lumajang-hos41427524/,Lumajang,-,106 M²,108 M²,3,2,Hgb,1,-,-,Lainnya,-,-,1,-,RP 435 JUTA
https://www.rumah123.com/properti/lumajang-sukodono/rumah-di-kampung-arab-lumajang-hos19301407/,Lumajang,-,192 M²,192 M²,4,1,Shm,1,-,-,900Watt,-,-,-,-,RP 675 JUTA
https://www.rumah123.com/properti/lumajang-tempeh/rumah-minimalis-gratis-furniture-di-tempeh-lumajang-hos19301552/,Lumajang,-,72 M²,72 M²,2,1,Hgb,1,-,-,900Watt,-,-,-,-,RP 166 JUTA
https://www.rumah123.com/properti/badung/hos11335237/,Lumajang,-,81 M²,115 M²,3,3,Shm,2,-,-,5500Watt,-,-,1,-,"RP 1,65 MILIAR"
https://www.rumah123.com/properti/lumajang-tekung/rumah-dan-gedung-luas-strategis-hos18573764/,Lumajang,-,430 M²,430 M²,3,2,Shm,-,-,-,900Watt,-,-,-,-,"RP 2,85 MILIAR"
https://www.rumah123.com/properti/lumajang-lumajang/rumah-pang-besar-sudirman-lumajang-hos39636427/,Lumajang,-,420 M²,420 M²,3,3,Hgb,1,-,-,6600Watt,-,1,-,-,RP 6 MILIAR
https://www.rumah123.com/properti/badung/hos41619245/,Lumajang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
https://www.rumah123.com/properti/lumajang-sumbersoko/rumah-strategis-dekat-alun-alun-lumajang-hos19300650/,Lumajang,-,1100 M²,1100 M²,2,1,Shm,1,-,-,5500Watt,-,-,-,-,"RP 4,5 MILIAR"
https://www.rumah123.com/properti/lumajang-lumajang/rumah-bagus-dalam-kota-lumajang-hos39517039/,Lumajang,-,112 M²,100 M²,2,1,Shm,1,-,-,900Watt,-,1,1,-,RP 650 JUTA
https://www.rumah123.com/properti/lumajang-sukodono/rumah-dekat-samsat-sukodono-hos19300801/,Lumajang,-,95 M²,95 M²,3,1,Shm,1,-,-,900Watt,-,-,-,-,RP 285 JUTA
https://www.rumah123.com/properti/lumajang-sukodono/rumah-grand-wiraraja-hos18574042/,Lumajang,-,78 M²,78 M²,3,2,Hgb,-,-,-,1300Watt,-,-,-,-,RP 650 JUTA
https://www.rumah123.com/properti/lumajang-sukodono/rumah-minimalis-toga-sukodono-hos19300684/,Lumajang,-,74 M²,45 M²,2,1,Shm,1,-,-,900Watt,-,-,-,-,RP 345 JUTA
https://www.rumah123.com/properti/lumajang-tekung/rumah-minimalis-dekat-alun-alun-lumajang-hos19517332/,Lumajang,-,84 M²,84 M²,2,1,Shm,1,-,-,900Watt,-,-,-,-,RP 295 JUTA
https://www.rumah123.com/properti/lumajang-sukodono/rumah-nol-jalan-lumajang-hos19287392/,Lumajang,-,364 M²,364 M²,4,2,Shm,1,-,-,900Watt,-,-,-,-,"RP 1,85 MILIAR"
https://www.rumah123.com/properti/surabaya/hos41517645/,Lumajang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
https://www.rumah123.com/properti/lumajang-tekung/rumah-di-alun-alun-lumajang-hos19300627/,Lumajang,-,180 M²,180 M²,5,2,Shm,1,-,-,4400Watt,-,-,-,-,"RP 1,5 MILIAR"
